zipEntry,className,srg,mcp,param,type,genericSuffix,comment
net/minecraft/block/Block.java,net.minecraft.block.Block,func_149743_a:661,addCollisionBoxesToList:661,5,java.util.List,<net.minecraft.util.AxisAlignedBB>,
net/minecraft/block/Block.java,net.minecraft.block.Block,func_149666_a:1365,getSubBlocks:1365,2,java.util.List,<net.minecraft.item.ItemStack>,
net/minecraft/block/BlockAnvil.java,net.minecraft.block.BlockAnvil,func_149666_a:166,getSubBlocks:166,2,java.util.List,<net.minecraft.item.ItemStack>,
net/minecraft/block/BlockBrewingStand.java,net.minecraft.block.BlockBrewingStand,func_149743_a:73,addCollisionBoxesToList:73,5,java.util.List,<net.minecraft.util.AxisAlignedBB>,
net/minecraft/block/BlockCarpet.java,net.minecraft.block.BlockCarpet,func_149666_a:151,getSubBlocks:151,2,java.util.List,<net.minecraft.item.ItemStack>,
net/minecraft/block/BlockCauldron.java,net.minecraft.block.BlockCauldron,func_149743_a:60,addCollisionBoxesToList:60,5,java.util.List,<net.minecraft.util.AxisAlignedBB>,
net/minecraft/block/BlockColored.java,net.minecraft.block.BlockColored,func_149666_a:58,getSubBlocks:58,2,java.util.List,<net.minecraft.item.ItemStack>,
net/minecraft/block/BlockDirt.java,net.minecraft.block.BlockDirt,func_149666_a:112,getSubBlocks:112,2,java.util.List,<net.minecraft.item.ItemStack>,
net/minecraft/block/BlockDoublePlant.java,net.minecraft.block.BlockDoublePlant,func_149666_a:276,getSubBlocks:276,2,java.util.List,<net.minecraft.item.ItemStack>,
net/minecraft/block/BlockEndPortal.java,net.minecraft.block.BlockEndPortal,func_149743_a:60,addCollisionBoxesToList:60,5,java.util.List,<net.minecraft.util.AxisAlignedBB>,
net/minecraft/block/BlockEndPortalFrame.java,net.minecraft.block.BlockEndPortalFrame,func_149743_a:84,addCollisionBoxesToList:84,5,java.util.List,<net.minecraft.util.AxisAlignedBB>,
net/minecraft/block/BlockFence.java,net.minecraft.block.BlockFence,func_149743_a:33,addCollisionBoxesToList:33,5,java.util.List,<net.minecraft.util.AxisAlignedBB>,
net/minecraft/block/BlockFlower.java,net.minecraft.block.BlockFlower,func_149666_a:67,getSubBlocks:67,2,java.util.List,<net.minecraft.item.ItemStack>,
net/minecraft/block/BlockHopper.java,net.minecraft.block.BlockHopper,func_149743_a:56,addCollisionBoxesToList:56,5,java.util.List,<net.minecraft.util.AxisAlignedBB>,
